Image,TrueClass,PredictedClass,Confidence,Correct
_Field Cabeceira da Ferradura_BM-012_1_DSCF0017.jpg,Animals,Animals,0.933,True
_Field Cabeceira da Ferradura_BM-012_1_DSCF0029.jpg,Animals,Animals,0.9731,True
_Field Cabeceira da Ferradura_BM-012_1_DSCF0032.jpg,Animals,Animals,0.8286,True
_Field Cabeceira da Ferradura_BM-012_1_DSCF0055.jpg,Animals,Empty,0.5443,False
_Field Cabeceira da Ferradura_BM-017_1_DSCF0041.jpg,Animals,Animals,0.9752,True
_Field Cabeceira da Ferradura_BM-017_1_DSCF0043.jpg,Animals,Animals,0.7407,True
_Field Cabeceira da Ferradura_BM-017_1_DSCF0069.jpg,Animals,Animals,0.9897,True
_Field Cabeceira da Ferradura_BM-017_1_DSCF0083.jpg,Animals,Animals,0.9933,True
_Field Cabeceira da Ferradura_BM-030_1_DSCF0024.jpg,Animals,Animals,0.9834,True
_Field Cabeceira da Ferradura_BM-030_1_DSCF0029.jpg,Animals,Animals,0.9582,True
_Field Cabeceira da Ferradura_BM-030_1_DSCF0037.jpg,Animals,Animals,0.977,True
_Field Cabeceira da Ferradura_BM-030_1_DSCF0051.jpg,Animals,Animals,0.6011,True
_Field Cabeceira da Ferradura_BM-031_1_DSCF0018.jpg,Animals,Animals,0.6926,True
_Field Cabeceira da Ferradura_BM-031_1_DSCF0052.jpg,Animals,Animals,0.975,True
_Field Cabeceira da Ferradura_BM-031_1_DSCF0053.jpg,Animals,Animals,0.9963,True
_Field Cabeceira da Ferradura_BM-032_1_DSCF0033.jpg,Animals,Animals,0.9858,True
_Field Cabeceira da Ferradura_BM-032_1_DSCF0047.jpg,Animals,Animals,0.9986,True
_Field Cabeceira da Ferradura_BM-032_1_DSCF0056.jpg,Animals,Animals,1.0,True
_Field Caramuru 03_BM-122_1_DSCF0031.jpg,Animals,Animals,0.9745,True
_Field Caramuru 03_BM-122_1_DSCF0037.jpg,Animals,Animals,0.8262,True
_Field Caramuru 03_BM-122_1_DSCF0058.jpg,Animals,Animals,0.9861,True
_Field Caramuru 03_BM-155_1_DSCF0004.jpg,Animals,Insects,0.5123,False
_Field Caramuru 03_BM-155_1_DSCF0030.jpg,Animals,Animals,0.9866,True
_Field Caramuru 03_BM-155_1_DSCF0035.jpg,Animals,Animals,0.9505,True
_Field Caramuru 03_BM-155_1_DSCF0055.jpg,Animals,Animals,0.6762,True
_Field Caramuru 03_BM-155_1_DSCF0060.jpg,Animals,Animals,0.7065,True
_Field Caramuru 03_BM-167_1_DSCF0011.jpg,Animals,Animals,0.8091,True
_Field Caramuru 03_BM-167_1_DSCF0015.jpg,Animals,Animals,0.9955,True
_Field Caramuru 03_BM-167_1_DSCF0026.jpg,Animals,Animals,0.9994,True
_Field Caramuru 03_BM-167_1_DSCF0034.jpg,Animals,Animals,0.9965,True
_Field Caramuru 03_BM-167_1_DSCF0040.jpg,Animals,Animals,0.9995,True
_Field Caramuru 03_BM-167_1_DSCF0054.jpg,Animals,Animals,0.9979,True
_Field Caramuru 03_BM-167_1_DSCF0057.jpg,Animals,Animals,0.9804,True
_Field Caramuru 03_BM-167_1_DSCF0063.jpg,Animals,Animals,0.9999,True
_Field Caramuru 03_BM-167_1_DSCF0072.jpg,Animals,Animals,0.9756,True
_Field Caramuru 03_BM-167_1_DSCF0086.jpg,Animals,Animals,0.9986,True
_Field Caramuru 03_BM-167_1_DSCF0092.jpg,Animals,Animals,0.9999,True
_Field Caramuru 03_BM-167_1_DSCF0120.jpg,Animals,Animals,0.8633,True
_Field Caramuru 03_BM-167_1_DSCF0131.jpg,Animals,Animals,0.9747,True
_Field Caramuru 03_BM-227_1_DSCF0017.jpg,Animals,Animals,0.9665,True
_Field Caramuru 04_BM-128_1_DSCF0060.jpg,Animals,Animals,0.7851,True
_Field Caramuru 04_BM-128_1_DSCF0086.jpg,Animals,Animals,0.4723,True
_Field Caramuru 04_BM-156_1_DSCF0028.jpg,Animals,Animals,0.9997,True
_Field Caramuru 04_BM-156_1_DSCF0042.jpg,Animals,Animals,0.6997,True
_Field Caramuru 04_BM-156_1_DSCF0051.jpg,Animals,Animals,0.4343,True
_Field Caramuru 04_BM-158_1_DSCF0073.jpg,Animals,Animals,0.9969,True
_Field Caramuru 04_BM-158_1_DSCF0078.jpg,Animals,Animals,0.9983,True
_Field Caramuru 04_BM-193_1_DSCF0251.jpg,Animals,Animals,0.9259,True
_Field Caramuru 04_BM-193_1_DSCF0252.jpg,Animals,Animals,0.936,True
_Field Caramuru 04_BM-194_1_DSCF0065.jpg,Animals,Insects,0.7976,False
_Field Caramuru 04_BM-202_1_DSCF0028.jpg,Animals,Animals,0.6396,True
_Field Caramuru 04_BM-202_1_DSCF0070.jpg,Animals,Animals,0.7996,True
_Field Caramuru 05_BM-094_1_DSCF0014.jpg,Animals,Animals,0.5038,True
_Field Caramuru 05_BM-094_1_DSCF0015.jpg,Animals,Animals,0.5635,True
_Field Caramuru 05_BM-095_1_DSCF0067.jpg,Animals,Animals,0.7005,True
_Field Caramuru 05_BM-095_1_DSCF0070.jpg,Animals,Animals,0.9161,True
_Field Caramuru 05_BM-098_1_DSCF0065.jpg,Animals,Animals,0.9986,True
_Field Caramuru 05_BM-098_1_DSCF0071.jpg,Animals,Animals,0.9975,True
_Field Caramuru 05_BM-098_1_DSCF0085.jpg,Animals,Animals,0.9988,True
_Field Caramuru 05_BM-099_1_DSCF0004.jpg,Animals,Animals,0.9483,True
_Field Caramuru 05_BM-099_1_DSCF0014.jpg,Animals,Animals,0.994,True
_Field Caramuru 05_BM-099_1_DSCF0026.jpg,Animals,Animals,0.9984,True
_Field Caramuru 05_BM-099_1_DSCF0034.jpg,Animals,Animals,0.9971,True
_Field Caramuru 05_BM-099_1_DSCF0036.jpg,Animals,Animals,0.9946,True
_Field Caramuru 05_BM-099_1_DSCF0048.jpg,Animals,Animals,0.9987,True
_Field Caramuru 05_BM-099_1_DSCF0057.jpg,Animals,Animals,0.9995,True
_Field Caramuru 05_BM-099_1_DSCF0058.jpg,Animals,Animals,0.9988,True
_Field Caramuru 05_BM-099_1_DSCF0071.jpg,Animals,Animals,0.9753,True
_Field Caramuru 05_BM-102_1_DSCF0022.jpg,Animals,Animals,0.9584,True
_Field Caramuru 05_BM-102_1_DSCF0024.jpg,Animals,Animals,0.9908,True
_Field Caramuru 05_BM-102_1_DSCF0040.jpg,Animals,Animals,0.9968,True
_Field Caramuru 05_BM-102_1_DSCF0048.jpg,Animals,Animals,0.9444,True
_Field Caramuru 05_BM-116_1_DSCF0023.jpg,Animals,Animals,0.9707,True
_Field Caramuru 05_BM-116_1_DSCF0024.jpg,Animals,Animals,0.9703,True
_Field Caramuru 05_BM-116_1_DSCF0026.jpg,Animals,Animals,0.9549,True
