Image,TrueClass,PredictedClass,Confidence,Correct
_Field Cabeceira da Ferradura_BM-012_1_DSCF0017.jpg,Animals,Animals,1.0,True
_Field Cabeceira da Ferradura_BM-012_1_DSCF0029.jpg,Animals,Animals,0.9999,True
_Field Cabeceira da Ferradura_BM-012_1_DSCF0032.jpg,Animals,Animals,0.9999,True
_Field Cabeceira da Ferradura_BM-012_1_DSCF0055.jpg,Animals,Animals,0.9933,True
_Field Cabeceira da Ferradura_BM-017_1_DSCF0041.jpg,Animals,Animals,0.9999,True
_Field Cabeceira da Ferradura_BM-017_1_DSCF0043.jpg,Animals,Animals,0.9225,True
_Field Cabeceira da Ferradura_BM-017_1_DSCF0069.jpg,Animals,Animals,1.0,True
_Field Cabeceira da Ferradura_BM-017_1_DSCF0083.jpg,Animals,Animals,1.0,True
_Field Cabeceira da Ferradura_BM-030_1_DSCF0024.jpg,Animals,Animals,1.0,True
_Field Cabeceira da Ferradura_BM-030_1_DSCF0029.jpg,Animals,Animals,0.9989,True
_Field Cabeceira da Ferradura_BM-030_1_DSCF0037.jpg,Animals,Animals,0.9983,True
_Field Cabeceira da Ferradura_BM-030_1_DSCF0051.jpg,Animals,Animals,0.9988,True
_Field Cabeceira da Ferradura_BM-031_1_DSCF0018.jpg,Animals,Animals,1.0,True
_Field Cabeceira da Ferradura_BM-031_1_DSCF0052.jpg,Animals,Animals,0.9999,True
_Field Cabeceira da Ferradura_BM-031_1_DSCF0053.jpg,Animals,Animals,1.0,True
_Field Cabeceira da Ferradura_BM-032_1_DSCF0033.jpg,Animals,Animals,0.996,True
_Field Cabeceira da Ferradura_BM-032_1_DSCF0047.jpg,Animals,Animals,1.0,True
_Field Cabeceira da Ferradura_BM-032_1_DSCF0056.jpg,Animals,Animals,1.0,True
_Field Caramuru 03_BM-122_1_DSCF0031.jpg,Animals,Animals,0.9963,True
_Field Caramuru 03_BM-122_1_DSCF0037.jpg,Animals,Animals,0.8498,True
_Field Caramuru 03_BM-122_1_DSCF0058.jpg,Animals,Animals,0.9996,True
_Field Caramuru 03_BM-155_1_DSCF0004.jpg,Animals,Animals,0.5653,True
_Field Caramuru 03_BM-155_1_DSCF0030.jpg,Animals,Animals,1.0,True
_Field Caramuru 03_BM-155_1_DSCF0035.jpg,Animals,Animals,0.9999,True
_Field Caramuru 03_BM-155_1_DSCF0055.jpg,Animals,Animals,0.9975,True
_Field Caramuru 03_BM-155_1_DSCF0060.jpg,Animals,Animals,0.9873,True
_Field Caramuru 03_BM-167_1_DSCF0011.jpg,Animals,Animals,0.9955,True
_Field Caramuru 03_BM-167_1_DSCF0015.jpg,Animals,Animals,1.0,True
_Field Caramuru 03_BM-167_1_DSCF0026.jpg,Animals,Animals,1.0,True
_Field Caramuru 03_BM-167_1_DSCF0034.jpg,Animals,Animals,1.0,True
_Field Caramuru 03_BM-167_1_DSCF0040.jpg,Animals,Animals,1.0,True
_Field Caramuru 03_BM-167_1_DSCF0054.jpg,Animals,Animals,1.0,True
_Field Caramuru 03_BM-167_1_DSCF0057.jpg,Animals,Animals,1.0,True
_Field Caramuru 03_BM-167_1_DSCF0063.jpg,Animals,Animals,1.0,True
_Field Caramuru 03_BM-167_1_DSCF0072.jpg,Animals,Animals,1.0,True
_Field Caramuru 03_BM-167_1_DSCF0086.jpg,Animals,Animals,1.0,True
_Field Caramuru 03_BM-167_1_DSCF0092.jpg,Animals,Animals,1.0,True
_Field Caramuru 03_BM-167_1_DSCF0120.jpg,Animals,Animals,1.0,True
_Field Caramuru 03_BM-167_1_DSCF0131.jpg,Animals,Animals,1.0,True
_Field Caramuru 03_BM-227_1_DSCF0017.jpg,Animals,Animals,0.9999,True
_Field Caramuru 04_BM-128_1_DSCF0060.jpg,Animals,Animals,0.9822,True
